	minimum	maximum
rxn02175_c	0.07837594677899701	0.10450126237737983
rxn02009_c	21.37525821011915	28.500344280194156
rxn00555_c	368.6098445986288	996.5087078256805
rxn01505_c	86.92605005448502	115.90140007278649
rxn00213_c	-57.95070003639296	-43.46302502724302
rxn01740_c	-0.09500114760044198	-0.07125086070027464
rxn00139_c	-17.899369521899644	-13.424527141404042
rxn03910_c	242.96543498834944	323.953913318202
rxn00182_c	-998.3256047735442	185.56245029173704
rxn01132_c	-830.992785515572	-43.5877140334685
rxn03908_c	242.9654349883495	323.9539133182111
rxn01255_c	0.0712508607003194	0.09500114760064798
rxn05485_c	-909.5826577711949	-281.6837945441059
rxn05496_c	208.41351153910455	999.9999999999942
rxn10271_c	0.017812715174954974	0.023750286900053652
rxn08352_c	22.087766817122606	29.450355756200207
rxn08850_c	-0.02375028690016734	-0.01781271517506866
rxn01345_c	192.2973484025097	647.3950027939899
rxn05645_c	0.078375946770052	0.10450126236059987
rxn01967_c	-874.562686833869	-87.15761535176182
rxn01116_c	-98.24382211170905	663.4258108175811
rxn00908_c	-236.99787755693455	13.65467959631735
rxn01138_c	-6.434211124406943	-4.825658343279883
rxn02402_c	0.2850034428072493	0.38000459040849427
rxn05494_c	74.81340373541673	99.75120498067747
rxn01870_c	0.017812715175192666	787.4228841973126
rxn00297_c	0.7125086070038833	0.9500114760065799
rxn00611_c	-1.1637640581076312	-0.8728230435795012
rxn08756_c	220.8776681712269	294.50355756200474
rxn08647_c	-5.011077559969361e-13	787.4050714821395
rxn10168_c	0.07125086070039773	0.09500114760064592
rxn09657_c	0.07125086070038833	0.09500114760055567
rxn12191_c	-535.0769431773779	708.2124708358938
rxn00410_c	4.225328516375754	5.63377135517425
rxn01333_c	245.35361749621381	909.7034243892058
rxn12510_c	0.07837594677713239	0.10450126236347299
rxn03933_c	21.375258210119227	28.50034428019319
rxn01977_c	-46.74960731258818	348.66324930282985
rxn01986_c	-53.38186883566266	1000.0000000000001
rxn00105_c	0.2850034428071688	0.38000459040812284
rxn00223_c	0.017812715169952753	787.4228841972658
rxn00784_c	-53.38186883566789	1000.0
rxn02285_c	-57.00068856038649	-42.75051642023834
rxn05663_c	0.9120110169650439	1.2160146892882018
rxn03907_c	242.96543498834956	323.95391331819087
rxn01213_c	22.087766817122542	29.450355756198974
rxn00459_c	1.2391865311656147e-11	787.4050714821074
rxn05209_c	-1000.0	177.8036685948499
rxn05059_c	-0.8360100988855947	-0.6270075741634855
rxn10474_c	-0.09500114760066936	-0.07125086070038833
rxn00260_c	1.6743952264585005	487.236019669047
rxn00461_c	42.750516420238455	57.00068856038649
rxn10473_c	-0.09500114760066936	-0.07125086070038833
rxn08818_c	-0.07125086070050202	-0.053438145525433356
rxn08309_c	0.017812715175182348	0.02375028690016734
rxn03841_c	0.07125086070039773	0.09500114760064657
rxn01257_c	0.07125086070038833	0.09500114760066936
rxn02213_c	0.0712508607003977	0.09500114760064653
rxn00704_c	43.46302502724279	57.950700036394664
rxn03641_c	99.75286865468763	1000.0
rxn05313_c	-92.99596028696305	299.60526257797176
rxn01332_c	0.07125086070039756	0.09500114760064512
rxn00785_c	-331.67727997844054	49.15753648613145
rxn03909_c	242.9654349883579	323.95391331820696
rxn02005_c	43.56990131829353	58.09320175779552
rxn08808_c	0.0356254303501988	0.047500573800323076
rxn05201_c	-1000.0	253.21414042401648
rxn10280_c	0.03562543035013732	0.04750057380033468
rxn05616_c	-0.09500114760066936	-0.07125086070038833
rxn00077_c	1.7598962593000411	2.3465283457364343
rxn00134_c	4.825658343323414	6.434211124374128
rxn09109_c	0.01781271517506866	0.02375028690016734
rxn01200_c	-331.7485308391472	49.08628562554611
rxn00763_c	-0.023750286900153128	-0.017812715175099438
rxn00122_c	0.007125086070040561	0.00950011475998099
rxn05223_c	0.07125086070039348	0.09500114760064601
rxn00085_c	372.1011367729457	1000.0
rxn09345_c	22.08776681712277	29.45035575620045
rxn01466_c	22.087766817122542	29.450355756200224
rxn02008_c	42.7505164202383	57.00068856038739
rxn03904_c	21.375258210119114	28.500344280193644
rxn00778_c	-147.33010773720878	995.1743416567233
rxn03901_c	43.46302502724223	57.95070003639411
rxn01985_c	-1000.0000000000001	999.9999999999999
rxn00193_c	42.75051642023834	57.00068856038706
rxn10272_c	0.017812715174954974	0.023750286900053652
rxn05197_c	-999.9999999999854	253.2141404239917
rxn10770_c	-708.212470835864	535.0769431773922
rxn01799_c	-253.2141404238597	999.9999999999958
rxn10281_c	0.03562543035013732	0.04750057380033468
rxn02341_c	0.0783759467784704	0.10450126236315074
rxn05232_c	1.7812715175099434	2.375028690016147
rxn01513_c	1.6173945378990287	2.1565260505345654
rxn08307_c	0.017812715175182348	0.02375028690016734
rxn00686_c	-2.156526050534694	-1.617394537899031
rxn00157_c	-1000.0	-311.4461989455615
rxn01286_c	0.0	787.4050714820943
rxn01236_c	-1000.0000000000003	-99.75286865474688
rxn05289_c	-32.81172846903735	469.54257632009296
rxn00293_c	30.323501328639676	40.43133510490179
EX_cpd00001_e	-874.1180480536513	348.51662537422555
EX_cpd00023_e	-75.50691211299238	-56.63018408467542
EX_cpd00971_e	-0.09500114760101042	-0.07125086069640929
