gene	norm_1	norm_2	norm_3
CDR20291_0357	2396	2459	2104
CDR20291_0358	1707	1700	1451
CDR20291_0359	2121	2276	2120
CDR20291_0360	1369	1553	1489
CDR20291_0361	616	638	531
CDR20291_0362	429	421	426
CDR20291_0363	3960	3989	4476
CDR20291_0364	1665	1686	1933
CDR20291_0365	75867	75329	83991
CDR20291_0366	149897	150985	177013
CDR20291_0367	90991	92009	107056
CDR20291_0368	147690	147054	169108
CDR20291_0369	129184	127744	145657
CDR20291_0370	155563	157792	174920
CDR20291_0371	111958	114991	124709
CDR20291_0372	164364	169319	182419
CDR20291_0373	7468	7471	7909
CDR20291_0374	81045	82243	80987
CDR20291_0375	418	400	481
CDR20291_0376	0	0	0
CDR20291_0377	9521	9135	9281
CDR20291_0376_0	0	0	0
CDR20291_0378	6956	7197	6587
CDR20291_0379	1338	1345	1454
CDR20291_0380	167	141	184
CDR20291_0381	3083	3156	3377
CDR20291_0382	834	875	896
CDR20291_0383	725	683	599
CDR20291_0384	1222	1086	1266
CDR20291_0385	46	42	78
CDR20291_0386	2	3	8
CDR20291_0387	57	62	59
CDR20291_0388	2	16	1
CDR20291_0389	87	110	75
CDR20291_0390	43	31	48
CDR20291_0391	26	7	8
CDR20291_0392	69	83	80
CDR20291_0393	48	35	48
CDR20291_0394	507	558	450
CDR20291_0395	1084	1039	958
CDR20291_0396	3402	3294	2861
CDR20291_0397	282	274	291
CDR20291_0398	22	20	12
CDR20291_0399	282	229	233
CDR20291_0400	316	303	245
CDR20291_0401	1858	1911	1621
CDR20291_0402	4472	4336	4236
CDR20291_0403	2226	2124	2152
CDR20291_0404	1335	1258	1314
CDR20291_0405	2704	2720	2616
CDR20291_0406	158	139	96
CDR20291_0407	2207	2089	2237
CDR20291_0408	3123	3260	3402
CDR20291_0409	80	82	114
CDR20291_0410	205	189	242
CDR20291_0411	327	397	383
CDR20291_0412	4244	4120	3752
CDR20291_0413	947	879	886
CDR20291_0414	993	949	917
CDR20291_0415	588	636	612
CDR20291_0416	1598	1453	1532
CDR20291_0417	353	333	300
CDR20291_0418	146	133	158
CDR20291_0419	917	854	796
CDR20291_0420	394	390	380
CDR20291_0421	409	468	428
CDR20291_0422	624	690	560
CDR20291_0423	1835	1824	1757
CDR20291_0424	5139	5067	4654
CDR20291_0425	203	191	204
CDR20291_0426	16	28	15
CDR20291_0427	129	144	119
CDR20291_0428	374	348	351
CDR20291_0429	196	154	179
CDR20291_0430	2047	2152	2378
CDR20291_0431	126	140	162
CDR20291_0432	1493	1422	1377
CDR20291_0433	24	16	31
CDR20291_0434	86	100	67
CDR20291_0435	99	118	133
CDR20291_0436	295	304	311
CDR20291_0437	422	425	425
CDR20291_0438	180	159	173
CDR20291_0439	352	334	323
CDR20291_0440	7612	6872	10053
CDR20291_0441	4175	3993	3626
CDR20291_0442	7411	7500	6702
CDR20291_0443	2156	2207	1888
CDR20291_0444	1069	1065	920
CDR20291_0445	13260	13958	13939
CDR20291_0446	7008	7032	5876
CDR20291_0447	4527	4544	4180
CDR20291_0448	8065	7725	7634
CDR20291_0449	4466	4581	4337
CDR20291_0450	10700	11223	9981
