gene	norm_1	norm_2	norm_3
OG1RF_12387	17855	17882	18160
OG1RF_10628	14930	15521	15551
OG1RF_11296	5036	5160	5151
OG1RF_12518	824	907	894
OG1RF_12228	19398	19967	19787
OG1RF_10712	14182	14344	14012
OG1RF_12516	2272	2540	2576
OG1RF_12517	1594	1809	1706
OG1RF_12514	4297	4567	4585
OG1RF_11830	29787	27872	27536
OG1RF_10454	4571	4835	4895
OG1RF_10431	51	81	58
OG1RF_10455	1161	1265	1273
OG1RF_11234	21	4	9
OG1RF_11529	5066	4908	5132
OG1RF_11528	56069	55399	57335
OG1RF_11527	96002	95874	101296
OG1RF_12150	6730	6889	6828
OG1RF_10729	105721	103327	104515
OG1RF_11473	25196	25201	25173
OG1RF_10209	142843	142679	144178
OG1RF_11105	1174	1140	1200
OG1RF_10728	23226	22473	22457
OG1RF_11889	30677	31053	31753
OG1RF_11921	24063	23772	24850
OG1RF_11472	40480	40249	40098
OG1RF_12362	36924	34879	35692
OG1RF_10730	120925	118881	120020
OG1RF_11245	8382	8562	8404
OG1RF_10146	619136	585034	595261
OG1RF_10378	1151	1287	1218
OG1RF_10850	1141	1253	1175
OG1RF_11707	16695	16802	16610
OG1RF_12142	14740	14452	15038
OG1RF_10849	1327	1479	1346
OG1RF_10848	487	506	379
OG1RF_10852	7758	8386	8464
OG1RF_10851	7854	8775	8677
OG1RF_11246	8605	8717	8751
OG1RF_11626	253901	227796	232907
OG1RF_10462	80050	77893	78687
OG1RF_10463	83334	80728	81731
OG1RF_10461	6637	6778	6510
OG1RF_12569	7891	6849	6813
OG1RF_11903	29480	29756	29909
OG1RF_11919	4163	3891	3958
OG1RF_11820	402	380	378
OG1RF_11203	50249	48525	49261
OG1RF_11526	181160	162919	174829
OG1RF_10010	50456	49574	50094
OG1RF_10014	5965	5984	6365
OG1RF_10015	1079	1124	1127
OG1RF_10016	49593	49091	50859
OG1RF_10021	98978	95712	92869
OG1RF_10022	8768	8735	8243
OG1RF_10023	13675	14512	14437
OG1RF_10024	2324	2178	1964
OG1RF_10025	716	691	647
OG1RF_10028	4691	5061	4750
OG1RF_10029	19525	21727	21402
OG1RF_10030	141	124	131
OG1RF_10031	32743	34553	33988
OG1RF_10032	103	98	116
OG1RF_10033	953	966	1042
OG1RF_10034	1223	1134	1267
OG1RF_10035	3032	3156	3139
OG1RF_10040	21215	20825	21407
OG1RF_10046	14241	13545	13795
OG1RF_10047	7193	6982	6969
OG1RF_10048	206	245	184
OG1RF_10052	2397	1702	1926
OG1RF_10056	9550	10132	9645
OG1RF_10057	2060	1962	2010
OG1RF_10058	44	43	41
OG1RF_10059	191	235	219
OG1RF_10062	1039	1043	1005
OG1RF_10063	1430	1408	1430
OG1RF_10064	3653	3858	3379
OG1RF_10065	243	257	282
OG1RF_10066	8118	8661	8080
OG1RF_10067	11	12	11
OG1RF_10069	3729	3603	3571
OG1RF_10070	643	597	658
OG1RF_10071	3328	3267	3129
OG1RF_10072	2859	2947	2784
OG1RF_10073	1320	1301	1305
OG1RF_10074	111	94	99
OG1RF_10075	337	365	289
OG1RF_10076	789	772	691
OG1RF_10078	98	76	73
OG1RF_10079	129753	123619	140190
OG1RF_10080	8687	7957	8712
OG1RF_10082	1130	1187	1284
OG1RF_10083	1513	1565	1523
OG1RF_10084	2133	2139	2094
OG1RF_10085	8178	8283	8407
OG1RF_10086	32450	33122	33607
OG1RF_10087	12	16	16
OG1RF_10088	1301	1356	1322
OG1RF_10089	21480	19502	19103
OG1RF_10090	7278	6802	6915
OG1RF_10091	14336	13745	13872
OG1RF_10096	7251	7613	7228
OG1RF_10097	5944	5898	5658
OG1RF_10103	2532	3271	2700
OG1RF_10104	1932	2426	2142
OG1RF_10105	362	482	420
OG1RF_10106	2057	2075	1996
OG1RF_10107	1771	1737	1606
OG1RF_10108	1147	1056	967
OG1RF_10109	1192	1277	1225
OG1RF_10110	3532	3785	3939
OG1RF_10111	616	620	631
OG1RF_10113	1524	1396	1394
OG1RF_10114	127	168	134
OG1RF_10117	2455	2645	2426
OG1RF_10120	22780	21760	21261
OG1RF_10124	24835	22552	22370
OG1RF_10125	34648	33526	32239
OG1RF_10126	26455	23923	22323
OG1RF_10127	20238	19760	18235
OG1RF_10128	20178	18878	17987
OG1RF_10129	160	159	129
OG1RF_10130	380	374	401
