gene	norm_1	norm_2	norm_3
CDR20291_0247	8366	9087	7399
CDR20291_0259	336	374	327
CDR20291_0263	776	659	748
CDR20291_0271	713	851	638
CDR20291_0273	3097	3570	2273
CDR20291_0276	5218	5287	3724
CDR20291_0280	2582	2724	2726
CDR20291_0281	930	914	950
CDR20291_0282	616	770	758
CDR20291_0283	585	560	504
CDR20291_0284	764	757	809
CDR20291_0285	8387	7976	8649
CDR20291_0286	3649	3725	3819
CDR20291_0287	4	15	18
CDR20291_0288	2	1	12
CDR20291_0289	5	0	8
CDR20291_0290	18	6	21
CDR20291_0291	43	57	47
CDR20291_0292	51	72	59
CDR20291_0293	83	92	87
CDR20291_0294	61	74	72
CDR20291_0295	394	447	460
CDR20291_0296	435	473	494
CDR20291_0297	364	381	311
CDR20291_0298	20771	21716	21172
CDR20291_0299	2064	1974	2084
CDR20291_0300	1091	1018	1171
CDR20291_0307	479	393	447
CDR20291_0309	881	938	899
CDR20291_0310	1149	1088	1153
CDR20291_0311	6880	6140	6703
CDR20291_0312	9056	8742	8723
CDR20291_0313	6538	6103	6515
CDR20291_0314	8743	8232	8860
CDR20291_0315	5137	4384	5298
CDR20291_0316	519	600	503
CDR20291_0317	3432	3789	3902
CDR20291_0318	48308	49002	55244
CDR20291_0319	1023	1024	1149
CDR20291_0320	61	53	85
CDR20291_0321	7732	7758	7896
CDR20291_0322	6638	6522	6904
CDR20291_0323	10324	10636	11010
CDR20291_0324	7142	7305	7456
CDR20291_0325	5923	6339	6338
CDR20291_0326	925	816	847
CDR20291_0327	4440	4662	4010
CDR20291_0328	6472	6722	5948
CDR20291_0334	24906	25014	23680
CDR20291_0335	15275	15458	14774
CDR20291_0337	411	381	515
CDR20291_0340	362	422	440
CDR20291_0341	789	915	848
CDR20291_0342	1547	1582	1443
CDR20291_0343	1876	1739	1925
CDR20291_0344	2277	2063	2413
CDR20291_0345	36611	40189	33977
CDR20291_0346	1652	1851	1448
CDR20291_0347	1236	1365	1205
CDR20291_0348	2635	2380	2671
CDR20291_0349	4892	4598	4585
CDR20291_0350	21616	20953	21859
CDR20291_0351	2530	2727	1888
CDR20291_0352	3532	3663	2691
CDR20291_0353	10137	9656	8733
CDR20291_0354	10058	9592	9877
CDR20291_0355	8247	7504	8069
