reaction	linear_coefficient
rxn01859_c	1.0
rxn00194_c	1.0
rxn05160_c	1.0
rxn10288_c	1.0
rxn01851_c	1.0
rxn11834_c	1.0
rxn05201_c	1.0
rxn09449_c	1.0
rxn02604_c	1.0
rxn03002_c	1.0
rxn00314_c	1.0
rxn10280_c	1.0
rxn14138_c	1.0
rxn05616_c	1.0
rxn01507_c	1.0
rxn01790_c	1.0
rxn00077_c	1.0
rxn01388_c	1.0
rxn03638_c	1.0
rxn02897_c	1.0
rxn05126_c	1.0
rxn01406_c	1.0
rxn01446_c	1.0
rxn01068_c	1.0
rxn10223_c	1.0
rxn04658_c	1.0
rxn10260_c	1.0
rxn03915_c	1.0
rxn00541_c	1.0
rxn03075_c	1.0
rxn01368_c	1.0
rxn00134_c	1.0
rxn05233_c	1.0
rxn09109_c	1.0
rxn00141_c	1.0
rxn05375_c	1.0
rxn14294_c	1.0
rxn01200_c	1.0
rxn00186_c	1.0
rxn01241_c	1.0
rxn00859_c	1.0
rxn07346_c	1.0
rxn04744_c	1.0
rxn02185_c	1.0
rxn00763_c	1.0
rxn02473_c	1.0
rxn06060_c	1.0
rxn08656_c	1.0
rxn01434_c	1.0
rxn00912_c	0.9852941176470589
rxn05644_c	1.0
rxn12147_c	1.0
rxn08819_c	0.9852941176470589
rxn03849_c	1.0
rxn00122_c	1.0
rxn02235_c	1.0
rxn09979_c	1.0
rxn06076_c	1.0
rxn00985_c	1.0
rxn14300_c	1.0
rxn08294_c	1.0
rxn10259_c	1.0
rxn01602_c	1.0
rxn07720_c	1.0
rxn05223_c	1.0
rxn05344_c	1.0
rxn01521_c	1.0
rxn11759_c	1.0
rxn05384_c	1.0
rxn01649_c	1.0
rxn03094_c	1.0
rxn00085_c	1.0
rxn00119_c	1.0
rxn11749_c	1.0
rxn03873_c	1.0
rxn04453_c	1.0
rxn00608_c	0.9852941176470589
rxn09345_c	1.0
rxn04454_c	1.0
rxn01466_c	1.0
rxn01304_c	1.0
rxn00974_c	1.0
rxn02008_c	1.0
rxn05740_c	1.0
rxn03904_c	1.0
rxn01225_c	1.0
rxn07842_c	1.0
rxn00783_c	1.0
rxn07885_c	1.0
rxn08842_c	0.9852941176470589
rxn00778_c	0.9852941176470589
rxn03901_c	1.0
rxn01985_c	1.0
rxn10052_c	1.0
rxn07672_c	1.0
rxn00193_c	1.0
rxn10272_c	1.0
rxn06760_c	1.0
rxn05197_c	1.0
rxn00653_c	1.0
rxn00929_c	1.0
rxn00342_c	1.0
rxn00256_c	1.0
rxn03644_c	1.0
rxn03004_c	1.0
rxn00138_c	1.0
rxn10286_c	1.0
rxn02015_c	1.0
rxn05054_c	1.0
rxn01858_c	1.0
rxn10770_c	1.0
rxn05421_c	1.0
rxn01799_c	1.0
rxn01485_c	1.0
rxn02190_c	1.0
rxn10281_c	1.0
rxn09296_c	1.0
rxn00239_c	1.0
rxn10169_c	1.0
rxn00302_c	0.9852941176470589
rxn02465_c	1.0
rxn01791_c	1.0
rxn01710_c	1.0
rxn03333_c	1.0
rxn03465_c	1.0
rxn01329_c	1.0
