	minimum	maximum
rxn03908_c	405.1055524875778	506.3819406094711
rxn05485_c	-855.0648756496049	633.1678545899257
rxn05496_c	-719.5498768207459	1000.0
rxn00527_c	-326.13758543238566	667.3634896859339
rxn10271_c	0.029699820563450885	0.03712477570434203
rxn01345_c	0.0	796.4819795878916
rxn05645_c	0.13067921048025255	0.16334901309983252
rxn01967_c	-584.7298359874976	927.3542389014201
rxn00711_c	21.908029871001943	27.385037338752483
rxn00908_c	-487.0271183778143	22.508935801822872
rxn01138_c	-9.463509244657303	-7.570807395711427
rxn08820_c	-0.1113743271137082	-0.08909946169069372
rxn05494_c	124.739246367144	155.92405795892853
rxn01870_c	117.38993091658992	1000.0
rxn00297_c	1.1879928225441745	1.484991028180275
rxn00313_c	57.3562934724353	71.69536684054367
rxn10168_c	0.11879928225442274	0.14849910281802756
rxn09657_c	0.11879928225448566	0.14849910281805023
rxn12191_c	-999.9999999999989	1000.0
rxn00575_c	0.0	756.0420374445042
rxn00410_c	7.045051668151891	8.80631458518941
rxn01333_c	0.0	796.4819795878917
rxn12510_c	0.13067921048016767	0.16334901309804606
rxn03933_c	35.63978467632694	44.54973084540836
rxn01986_c	-593.4391563047916	999.5248028709791
rxn01646_c	-0.5939964112740199	-0.4751971290208985
rxn00105_c	0.4751971290156735	0.5939964112742663
rxn00223_c	44.7441698179631	927.3542389014184
rxn00784_c	-593.4391563048108	999.5248028709827
rxn02285_c	-89.09946169081695	-71.27956935265445
rxn05663_c	1.5206308128566155	1.9007885160707627
rxn03907_c	405.10555248757987	506.3819406094733
rxn01213_c	36.82777749887066	46.034721873588296
rxn05209_c	-1000.0	1000.0
rxn05059_c	-1.3067921047985465	-1.0454336838388372
rxn10474_c	-0.14849910281805023	-0.11879928225448566
rxn00260_c	-999.9999999999973	327.0008456568288
rxn00461_c	71.27956935265377	89.09946169081536
rxn10473_c	-0.14849910281805023	-0.11879928225448566
rxn08818_c	-0.11137432711404927	-0.08909946169126215
rxn08309_c	0.02969982056367826	0.0371247757045694
rxn04113_c	368.277774988707	460.34721873587745
rxn00704_c	4.462550102657019	5.57818762836348
rxn03641_c	0.0	1000.0
rxn01671_c	0.47519712902294586	0.593996411273094
rxn03909_c	405.10555248757794	506.3819406094654
rxn00558_c	4.462550102655996	5.57818762836348
rxn05201_c	-1000.0	592.9639591757871
rxn10280_c	0.059399641127129144	0.0742495514091388
rxn05616_c	-0.14849910281805023	-0.11879928225448566
rxn00077_c	2.9343422716842418	3.6679278396053725
rxn01446_c	-7.048583938740194e-12	986.2884507733942
rxn00134_c	7.570807395732306	9.463509244657885
rxn09109_c	0.029699820563450885	0.037124775704455715
rxn00763_c	-999.9999999999992	-117.38993091659393
rxn00122_c	0.011879928225566886	0.014849910281927248
rxn05223_c	0.11879928225442274	0.1484991028180264
rxn00085_c	177.2104717161	1000.0
rxn09345_c	36.827777498870546	46.034721873587614
rxn01466_c	36.827777498870546	46.03472187358784
rxn02008_c	71.27956935265384	89.09946169081603
rxn03904_c	35.63978467632694	44.54973084540802
rxn01225_c	0.0	986.2884507733295
rxn03901_c	72.46756217519746	90.58445271899508
rxn01985_c	-996.5754403425851	977.6167730001758
rxn00193_c	71.27956935265377	89.0994616908157
rxn10272_c	0.029699820563450885	0.03712477570434203
rxn10770_c	-999.9999999999915	1000.0000000000093
rxn01799_c	21.908029871001872	27.38503733875268
rxn10281_c	0.059399641127129144	0.0742495514091388
rxn02341_c	0.13067921048027908	0.16334901309717897
rxn05232_c	2.969982056360569	3.7124775704507065
rxn01513_c	2.6967437071753975	3.370929633969012
rxn08307_c	0.02969982056367826	0.0371247757045694
rxn08657_c	0.0	971.0486149145974
rxn00686_c	-3.3709296339690127	-2.696743707175301
rxn01236_c	-1000.0	0.0
rxn05289_c	15.956662825429055	1000.0
rxn00933_c	-8.137750834428061	-6.510200667542449
rxn00293_c	50.559532304197255	63.19941538024422
rxn00741_c	0.0	1000.0
EX_cpd00276_e	-783.7853062969513	1000.0
EX_cpd00001_e	-1000.0	1000.0
EX_cpd00023_e	-117.97900072672621	417.9095389476263
EX_cpd00971_e	-0.1484991028182776	-0.11879928224709602
EX_cpd00051_e	-9.503942580353737	-7.603154064283103
EX_cpd10515_e	-0.14849910281805023	-0.11879928225448566
EX_cpd00009_e	-170.01253018126658	-136.01002414489926
EX_cpd00076_e	-828.6877985430506	-72.64576109858353
EX_cpd00067_e	-1000.0	1000.0
EX_cpd00122_e	-633.1678545898889	855.064875649588
EX_cpd00035_e	-1000.0	719.5498768207306
EX_cpd00220_e	-0.16334901309983252	-0.1306792104799115
EX_cpd00117_e	-155.9240579589274	-124.73924636713969
EX_cpd00254_e	-0.14849910281793655	-0.11879928225437197
EX_cpd00205_e	-0.14849910281805023	-0.11879928225448566
