CDR20291_3255	3292
CDR20291_3252	1639
CDR20291_3251	3980
CDR20291_3250	1334
CDR20291_3248	3239
CDR20291_3247	3667
CDR20291_3246	2235
CDR20291_3245	2230
CDR20291_3244	6460
CDR20291_0329	33554
CDR20291_0330	8698
CDR20291_0332	29406
CDR20291_3257	7807
CDR20291_0331	15345
CDR20291_3249	1478
CDR20291_0923	12101
CDR20291_0001	2716
CDR20291_0002	3742
CDR20291_0004	7323
CDR20291_0006	4780
CDR20291_0008	10191
CDR20291_0009	999
CDR20291_0011	2540
CDR20291_0013	1212
CDR20291_0014	3273
CDR20291_0017	4164
CDR20291_0018	21385
CDR20291_0019	16611
CDR20291_0020	758
CDR20291_0021	30
CDR20291_0022	68
CDR20291_0023	380
CDR20291_0024	374
CDR20291_0029	179
CDR20291_0030	9
CDR20291_0031	21
CDR20291_0032	85
CDR20291_0033	1
CDR20291_0034	40
CDR20291_0035	1375
CDR20291_0039	110078
CDR20291_0042	4380
CDR20291_0043	4061
CDR20291_0044	1747
CDR20291_0045	6736
CDR20291_0046	4861
CDR20291_0047	730
CDR20291_0048	4083
CDR20291_0049	2181
CDR20291_0051	97725
CDR20291_0059	2384
CDR20291_0065	28790
CDR20291_0090	4564
CDR20291_0098	5721
CDR20291_0099	4458
CDR20291_0100	4350
CDR20291_0102	0
CDR20291_0108	3527
CDR20291_0109	7153
CDR20291_0110	4
CDR20291_0113	3799
CDR20291_0114	1405
CDR20291_0115	22737
CDR20291_0116	15934
CDR20291_0117	9525
CDR20291_0118	48442
CDR20291_0120	2902
CDR20291_0121	1572
CDR20291_0124	4344
CDR20291_0128	149
CDR20291_0130	39
CDR20291_0131	3202
CDR20291_0132	955
CDR20291_0133	2087
CDR20291_0134	84
CDR20291_0135	131
CDR20291_0136	917
CDR20291_0137	304
CDR20291_0138	1090
CDR20291_0139	313
CDR20291_0140	296
CDR20291_0141	12329
CDR20291_0144	6164
CDR20291_0145	4800
CDR20291_0146	4801
CDR20291_0147	536
CDR20291_0148	1049
CDR20291_0149	1944
CDR20291_0155	4456
CDR20291_0156	1139
CDR20291_0157	1472
CDR20291_0158	168
CDR20291_0159	314
CDR20291_0160	325
CDR20291_0161	355
CDR20291_0162	36
CDR20291_0163	291
CDR20291_0164	62
